"time","wallTime","wc2.out","wc1.out"
0.541,1.69534,-2.13571,-1.19962
0.542,1.69541,-2.15159,-1.20429
0.543,1.69544,-2.16748,-1.20895
0.544,1.69548,-2.18336,-1.21361
0.545,1.69552,-2.19924,-1.21828
0.546,1.69604,-2.21359,-1.22206
0.547,1.69608,-2.22793,-1.22584
0.548,1.69612,-2.24228,-1.22962
0.549,1.69617,-2.25662,-1.2334
0.55,1.6962,-2.27097,-1.23718
0.551,1.69655,-2.2837,-1.24007
0.552,1.69657,-2.29643,-1.24295
0.553,1.6966,-2.30917,-1.24583
0.554,1.69664,-2.3219,-1.24872
0.555,1.69667,-2.33463,-1.2516
0.556,1.69722,-2.34569,-1.25358
0.557,1.69726,-2.35675,-1.25556
0.558,1.69729,-2.3678,-1.25754
0.559,1.69733,-2.37886,-1.25952
0.56,1.69736,-2.38992,-1.2615
0.561,1.69778,-2.39924,-1.26257
0.562,1.69782,-2.40857,-1.26365
0.563,1.69784,-2.4179,-1.26472
0.564,1.69786,-2.42723,-1.2658
0.565,1.6979,-2.43656,-1.26687
0.566,1.69831,-2.44412,-1.26705
0.567,1.69835,-2.45168,-1.26723
0.568,1.69839,-2.45924,-1.2674
0.569,1.69842,-2.4668,-1.26758
0.57,1.69845,-2.47436,-1.26776
0.571,1.69883,-2.48013,-1.26705
0.572,1.69886,-2.4859,-1.26634
0.573,1.6989,-2.49166,-1.26563
0.574,1.69892,-2.49743,-1.26492
0.575,1.699,-2.5032,-1.26421
0.576,1.69933,-2.50716,-1.26263
0.577,1.69935,-2.51112,-1.26106
0.578,1.69937,-2.51508,-1.25948
0.579,1.69939,-2.51903,-1.2579
0.58,1.69941,-2.52299,-1.25633
0.581,1.69995,-2.52514,-1.25391
0.582,1.69997,-2.52729,-1.25149
0.583,1.69999,-2.52944,-1.24907
0.584,1.70002,-2.53159,-1.24665
0.585,1.70004,-2.53374,-1.24423
0.586,1.70041,-2.5341,-1.241
0.587,1.70043,-2.53445,-1.23777
0.588,1.70046,-2.53481,-1.23453
0.589,1.70048,-2.53516,-1.2313
0.59,1.7005,-2.53551,-1.22807
0.591,1.70089,-2.53409,-1.22406
0.592,1.70091,-2.53268,-1.22005
0.593,1.70097,-2.53126,-1.21605
0.594,1.70103,-2.52984,-1.21204
0.595,1.70105,-2.52842,-1.20803
0.596,1.70149,-2.52527,-1.20328
0.597,1.70151,-2.52211,-1.19854
0.598,1.70153,-2.51896,-1.1938
0.599,1.70154,-2.51581,-1.18905
0.6,1.70156,-2.51265,-1.18431
0.601,1.70198,-2.50781,-1.17887
0.602,1.702,-2.50298,-1.17344
0.603,1.70203,-2.49814,-1.16801
0.604,1.70205,-2.4933,-1.16257
0.605,1.70207,-2.48846,-1.15714
0.606,1.70265,-2.482,-1.15106
0.607,1.7027,-2.47553,-1.14499
0.608,1.70272,-2.46907,-1.13891
0.609,1.70274,-2.4626,-1.13284
0.61,1.70276,-2.45614,-1.12676
0.611,1.70316,-2.44812,-1.1201
0.612,1.70318,-2.44011,-1.11344
0.613,1.7032,-2.43209,-1.10678
0.614,1.70322,-2.42407,-1.10012
0.615,1.70324,-2.41606,-1.09345
0.616,1.70365,-2.40657,-1.08626
0.617,1.70367,-2.39708,-1.07907
0.618,1.70369,-2.38759,-1.07188
0.619,1.70371,-2.3781,-1.06469
0.62,1.70373,-2.36862,-1.0575
0.621,1.7041,-2.35775,-1.04983
0.622,1.70412,-2.34688,-1.04217
0.623,1.70415,-2.33601,-1.03451
0.624,1.70416,-2.32514,-1.02684
0.625,1.70418,-2.31427,-1.01918
0.626,1.70457,-2.30212,-1.01111
0.627,1.70459,-2.28997,-1.00304
0.628,1.70461,-2.27782,-0.994965
0.629,1.70463,-2.26568,-0.986893
0.63,1.70465,-2.25353,-0.978821
0.631,1.70503,-2.2402,-0.970402
0.632,1.70505,-2.22688,-0.961983
0.633,1.70508,-2.21356,-0.953564
0.634,1.70509,-2.20023,-0.945146
0.635,1.70511,-2.18691,-0.936727
0.636,1.70548,-2.17253,-0.928025
0.637,1.7055,-2.15814,-0.919324
0.638,1.70553,-2.14376,-0.910622
0.639,1.70555,-2.12938,-0.901921
0.64,1.70557,-2.11499,-0.893219
0.641,1.70606,-2.09967,-0.884299
0.642,1.7061,-2.08434,-0.875378
0.643,1.70612,-2.06901,-0.866458
0.644,1.70613,-2.05369,-0.857538
0.645,1.70615,-2.03836,-0.848618
0.646,1.70659,-2.02222,-0.839542
0.647,1.70661,-2.00608,-0.830467
0.648,1.70663,-1.98993,-0.821392
0.649,1.70665,-1.97379,-0.812317
0.65,1.70667,-1.95764,-0.803241
0.651,1.70705,-1.9408,-0.794074
0.652,1.70707,-1.92397,-0.784907
0.653,1.70709,-1.90713,-0.775739
0.654,1.70711,-1.89029,-0.766572
0.655,1.70713,-1.87345,-0.757405
0.656,1.70755,-1.85605,-0.748206
0.657,1.70757,-1.83865,-0.739008
0.658,1.70759,-1.82124,-0.72981
0.659,1.70761,-1.80384,-0.720612
0.66,1.70762,-1.78644,-0.711414
0.661,1.70802,-1.7686,-0.702244
0.662,1.70804,-1.75076,-0.693075
0.663,1.70806,-1.73292,-0.683905
0.664,1.70808,-1.71508,-0.674735
0.665,1.7081,-1.69724,-0.665566
0.666,1.70858,-1.67908,-0.656481
0.667,1.7086,-1.66093,-0.647397
0.668,1.70862,-1.64278,-0.638312
0.669,1.70867,-1.62463,-0.629228
0.67,1.70871,-1.60648,-0.620143
0.671,1.70941,-1.58815,-0.611198
0.672,1.70945,-1.56981,-0.602252
0.673,1.70947,-1.55148,-0.593306
0.674,1.70949,-1.53314,-0.58436
